cod_barrio,barrio,cluster,cluster_nombre,indice_gentrificacion,nivel_gentrificacion
114,114. Vista Alegre,1,Barrios en transformación,0.4824,N1 - Gentrificación activa
115,115. Puerta Bonita,1,Barrios en transformación,0.5147,N1 - Gentrificación activa
116,116. Buenavista,1,Barrios en transformación,0.3968,N3 - Sin dinámicas gentrificadoras
117,117. Abrantes,1,Barrios en transformación,0.4785,N1 - Gentrificación activa
121,121. Orcasitas,1,Barrios en transformación,0.4296,N2 - Tendencia gentrificadora
122,122. Orcasur,1,Barrios en transformación,0.5312,N1 - Gentrificación activa
123,123. San Fermín,1,Barrios en transformación,0.457,N2 - Tendencia gentrificadora
124,124. Almendrales,1,Barrios en transformación,0.5094,N1 - Gentrificación activa
125,125. Moscardó,1,Barrios en transformación,0.5228,N1 - Gentrificación activa
126,126. Zofío,1,Barrios en transformación,0.529,N1 - Gentrificación activa
127,127. Pradolongo,1,Barrios en transformación,0.5476,N1 - Gentrificación activa
131,131. Entrevías,1,Barrios en transformación,0.4728,N1 - Gentrificación activa
132,132. San Diego,1,Barrios en transformación,0.5685,N1 - Gentrificación activa
133,133. Palomeras Bajas,1,Barrios en transformación,0.4391,N2 - Tendencia gentrificadora
134,134. Palomeras Sureste,1,Barrios en transformación,0.4181,N2 - Tendencia gentrificadora
135,135. Portazgo,1,Barrios en transformación,0.4553,N2 - Tendencia gentrificadora
136,136. Numancia,1,Barrios en transformación,0.502,N1 - Gentrificación activa
141,141. Pavones,2,Barrios residenciales estables,0.3284,N3 - Sin dinámicas gentrificadoras
142,142. Horcajo,2,Barrios residenciales estables,0.3935,N3 - Sin dinámicas gentrificadoras
143,143. Marroquina,2,Barrios residenciales estables,0.321,N3 - Sin dinámicas gentrificadoras
144,144. Media Legua,2,Barrios residenciales estables,0.3749,N3 - Sin dinámicas gentrificadoras
145,145. Fontarrón,1,Barrios en transformación,0.4753,N1 - Gentrificación activa
146,146. Vinateros,1,Barrios en transformación,0.425,N2 - Tendencia gentrificadora
151,151. Ventas,1,Barrios en transformación,0.4296,N2 - Tendencia gentrificadora
152,152. Pueblo Nuevo,1,Barrios en transformación,0.4037,N2 - Tendencia gentrificadora
153,153. Quintana,1,Barrios en transformación,0.4458,N2 - Tendencia gentrificadora
154,154. La Concepción,2,Barrios residenciales estables,0.3814,N3 - Sin dinámicas gentrificadoras
155,155. San Pascual,2,Barrios residenciales estables,0.3285,N3 - Sin dinámicas gentrificadoras
156,156. San Juan Bautista,2,Barrios residenciales estables,0.308,N3 - Sin dinámicas gentrificadoras
157,157. Colina,2,Barrios residenciales estables,0.3222,N3 - Sin dinámicas gentrificadoras
158,158. Atalaya,2,Barrios residenciales estables,0.3078,N3 - Sin dinámicas gentrificadoras
159,159. Costillares,2,Barrios residenciales estables,0.2653,N3 - Sin dinámicas gentrificadoras
161,161. Palomas,2,Barrios residenciales estables,0.2239,N3 - Sin dinámicas gentrificadoras
162,162. Piovera,2,Barrios residenciales estables,0.2622,N3 - Sin dinámicas gentrificadoras
163,163. Canillas,2,Barrios residenciales estables,0.2462,N3 - Sin dinámicas gentrificadoras
164,164. Pinar del Rey,2,Barrios residenciales estables,0.2926,N3 - Sin dinámicas gentrificadoras
165,165. Apóstol Santiago,2,Barrios residenciales estables,0.2972,N3 - Sin dinámicas gentrificadoras
166,166. Valdefuentes,2,Barrios residenciales estables,0.285,N3 - Sin dinámicas gentrificadoras
171,"171. Villaverde Alto, Casco Histórico de Villaverde",1,Barrios en transformación,0.4987,N1 - Gentrificación activa
172,172. San Cristóbal,1,Barrios en transformación,0.6246,N1 - Gentrificación activa
173,173. Butarque,2,Barrios residenciales estables,0.4035,N2 - Tendencia gentrificadora
174,174. Los Rosales,1,Barrios en transformación,0.4581,N2 - Tendencia gentrificadora
175,175. Ángeles,1,Barrios en transformación,0.5732,N1 - Gentrificación activa
181,181. Casco Histórico de Vallecas,1,Barrios en transformación,0.3855,N3 - Sin dinámicas gentrificadoras
182,182. Santa Eugenia,2,Barrios residenciales estables,0.2648,N3 - Sin dinámicas gentrificadoras
183,183. Ensanche de Vallecas,1,Barrios en transformación,0.3848,N3 - Sin dinámicas gentrificadoras
191,191. Casco Histórico de Vicálvaro,1,Barrios en transformación,0.4183,N2 - Tendencia gentrificadora
192,192. Valdebernardo,2,Barrios residenciales estables,0.3719,N3 - Sin dinámicas gentrificadoras
193,193. Valderrivas,2,Barrios residenciales estables,0.2471,N3 - Sin dinámicas gentrificadoras
194,194. El Cañaveral,1,Barrios en transformación,0.5949,N1 - Gentrificación activa
201,201. Simancas,1,Barrios en transformación,0.453,N2 - Tendencia gentrificadora
202,202. Hellín,1,Barrios en transformación,0.5424,N1 - Gentrificación activa
203,203. Amposta,1,Barrios en transformación,0.5242,N1 - Gentrificación activa
204,204. Arcos,1,Barrios en transformación,0.4177,N2 - Tendencia gentrificadora
205,205. Rosas,2,Barrios residenciales estables,0.3491,N3 - Sin dinámicas gentrificadoras
206,206. Rejas,2,Barrios residenciales estables,0.344,N3 - Sin dinámicas gentrificadoras
207,207. Canillejas,1,Barrios en transformación,0.3615,N3 - Sin dinámicas gentrificadoras
208,208. El Salvador,2,Barrios residenciales estables,0.3267,N3 - Sin dinámicas gentrificadoras
211,211. Alameda de Osuna,2,Barrios residenciales estables,0.2523,N3 - Sin dinámicas gentrificadoras
212,212. Aeropuerto,1,Barrios en transformación,0.3783,N3 - Sin dinámicas gentrificadoras
213,213. Casco Histórico de Barajas,2,Barrios residenciales estables,0.3317,N3 - Sin dinámicas gentrificadoras
214,214. Timón,2,Barrios residenciales estables,0.2792,N3 - Sin dinámicas gentrificadoras
215,215. Corralejos,2,Barrios residenciales estables,0.349,N3 - Sin dinámicas gentrificadoras
