cod_barrio,barrio,cluster,cluster_nombre,dim_poblacion_extranjera,dim_poblacion_joven,dim_hosteleria,dim_alquiler,dim_envejecimiento,indice_gentrificacion,nivel_gentrificacion
121,121. Orcasitas,1,Barrios en transformación,0.2957,0.3996,0.1938,0.7038,0.5553,0.4296,N2 - Tendencia gentrificadora
151,151. Ventas,1,Barrios en transformación,0.4213,0.6479,0.1421,0.3288,0.6078,0.4296,N2 - Tendencia gentrificadora
71,071. Gaztambide,0,Barrios consolidados y turísticos,0.3879,0.6272,0.185,0.4644,0.4699,0.4269,N2 - Tendencia gentrificadora
75,075. Ríos Rosas,0,Barrios consolidados y turísticos,0.2962,0.5757,0.3107,0.4849,0.4611,0.4257,N2 - Tendencia gentrificadora
146,146. Vinateros,1,Barrios en transformación,0.3441,0.5033,0.1046,0.5761,0.5968,0.425,N2 - Tendencia gentrificadora
72,072. Arapiles,0,Barrios consolidados y turísticos,0.3441,0.6328,0.2227,0.4699,0.4516,0.4242,N2 - Tendencia gentrificadora
74,074. Almagro,0,Barrios consolidados y turísticos,0.3041,0.5524,0.3079,0.5311,0.4195,0.423,N2 - Tendencia gentrificadora
104,104. Aluche,1,Barrios en transformación,0.347,0.4836,0.1848,0.5862,0.5114,0.4226,N2 - Tendencia gentrificadora
41,041. Recoletos,0,Barrios consolidados y turísticos,0.4177,0.5154,0.2608,0.5551,0.3572,0.4212,N2 - Tendencia gentrificadora
191,191. Casco Histórico de Vicálvaro,1,Barrios en transformación,0.3548,0.4997,0.1433,0.4642,0.6296,0.4183,N2 - Tendencia gentrificadora
134,134. Palomeras Sureste,1,Barrios en transformación,0.3746,0.5125,0.122,0.5763,0.505,0.4181,N2 - Tendencia gentrificadora
62,062. Cuatro Caminos,0,Barrios consolidados y turísticos,0.3401,0.6117,0.2052,0.4319,0.5011,0.418,N2 - Tendencia gentrificadora
204,204. Arcos,1,Barrios en transformación,0.3761,0.5295,0.2538,0.3067,0.6224,0.4177,N2 - Tendencia gentrificadora
35,035. Los Jerónimos,0,Barrios consolidados y turísticos,0.348,0.4982,0.3999,0.3853,0.4557,0.4174,N2 - Tendencia gentrificadora
152,152. Pueblo Nuevo,1,Barrios en transformación,0.4653,0.5713,0.1474,0.3122,0.5223,0.4037,N2 - Tendencia gentrificadora
173,173. Butarque,2,Barrios residenciales estables,0.236,0.2902,0.2232,0.688,0.5801,0.4035,N2 - Tendencia gentrificadora
63,063. Castillejos,2,Barrios residenciales estables,0.2658,0.6151,0.2315,0.4172,0.4787,0.4017,N2 - Tendencia gentrificadora
106,106. Cuatro Vientos,2,Barrios residenciales estables,0.3291,0.2416,0.2755,0.6028,0.5538,0.4006,N2 - Tendencia gentrificadora
44,044. Guindalera,2,Barrios residenciales estables,0.3193,0.5782,0.1857,0.4083,0.5097,0.4002,N2 - Tendencia gentrificadora
116,116. Buenavista,1,Barrios en transformación,0.3859,0.3064,0.2165,0.4837,0.5916,0.3968,N3 - Sin dinámicas gentrificadoras
142,142. Horcajo,2,Barrios residenciales estables,0.3133,0.5668,0.1334,0.5696,0.3842,0.3935,N3 - Sin dinámicas gentrificadoras
107,107. Águilas,1,Barrios en transformación,0.3088,0.4479,0.1581,0.5684,0.4734,0.3913,N3 - Sin dinámicas gentrificadoras
34,034. Ibiza,0,Barrios consolidados y turísticos,0.3534,0.4809,0.2882,0.4038,0.4255,0.3904,N3 - Sin dinámicas gentrificadoras
181,181. Casco Histórico de Vallecas,1,Barrios en transformación,0.4077,0.5054,0.1023,0.3831,0.529,0.3855,N3 - Sin dinámicas gentrificadoras
183,183. Ensanche de Vallecas,1,Barrios en transformación,0.439,0.2536,0.2632,0.4087,0.5594,0.3848,N3 - Sin dinámicas gentrificadoras
23,023. Chopera,2,Barrios residenciales estables,0.2609,0.6171,0.2204,0.3356,0.4863,0.3841,N3 - Sin dinámicas gentrificadoras
