cod_barrio,barrio,cluster,cluster_nombre,alquiler_2023,catastral_m2,pct_extranjera,pct_hosteleria_2023,pct_pob_2044,var_alquiler_dist_1823
203,203. Amposta,1,Barrios en transformación,12.87,725.03,23.77,18.72,36.22,15.24
204,204. Arcos,1,Barrios en transformación,13.37,833.04,13.52,24.48,30.89,15.24
207,207. Canillejas,1,Barrios en transformación,12.53,810.15,19.46,18.02,32.12,15.24
212,212. Aeropuerto,1,Barrios en transformación,12.7,961.63,23.87,28.08,34.49,14.0
21,021. Imperial,2,Barrios residenciales estables,16.65,1291.0,8.45,19.19,31.92,14.04
22,022. Acacias,2,Barrios residenciales estables,17.18,1257.57,8.2,19.91,33.24,14.04
23,023. Chopera,2,Barrios residenciales estables,16.29,1173.47,14.39,20.28,37.17,14.04
24,024. Legazpi,2,Barrios residenciales estables,15.73,1403.66,8.01,25.37,33.69,14.04
25,025. Delicias,2,Barrios residenciales estables,16.76,1240.11,13.03,21.52,35.87,14.04
26,026. Palos de la Frontera,2,Barrios residenciales estables,17.5,1171.58,15.69,20.12,38.35,14.04
31,031. Pacífico,2,Barrios residenciales estables,16.63,1282.85,10.72,15.71,32.52,13.74
32,032. Adelfas,2,Barrios residenciales estables,15.86,1371.32,8.61,19.23,32.27,13.74
33,033. Estrella,2,Barrios residenciales estables,15.53,1394.88,4.9,16.53,26.15,13.74
36,036. Niño Jesús,2,Barrios residenciales estables,17.14,1741.1,6.71,20.32,26.92,13.74
43,043. Fuente del Berro,2,Barrios residenciales estables,17.82,1380.16,14.26,19.71,34.45,14.61
44,044. Guindalera,2,Barrios residenciales estables,18.35,1376.72,12.79,17.9,34.65,14.61
51,051. El Viso,2,Barrios residenciales estables,19.4,2045.95,11.58,23.84,32.26,13.35
52,052. Prosperidad,2,Barrios residenciales estables,17.49,1393.26,11.71,18.05,34.04,13.35
53,053. Ciudad Jardín,2,Barrios residenciales estables,18.15,1425.2,13.68,18.61,34.32,13.35
54,054. Hispanoamérica,2,Barrios residenciales estables,18.38,1627.45,8.58,21.19,29.49,13.35
55,055. Nueva España,2,Barrios residenciales estables,17.61,1703.74,10.47,23.53,30.86,13.35
56,056. Castilla,2,Barrios residenciales estables,16.16,1326.3,11.24,24.64,34.58,13.35
63,063. Castillejos,2,Barrios residenciales estables,17.76,1392.36,16.72,27.53,38.17,15.25
76,076. Vallehermoso,2,Barrios residenciales estables,18.25,1670.09,8.57,23.93,31.74,15.51
81,081. El Pardo,2,Barrios residenciales estables,13.43,1020.43,5.29,42.4,30.4,15.07
82,082. Fuentelarreina,2,Barrios residenciales estables,10.91,1211.28,7.6,35.0,25.01,15.07
83,083. Peñagrande,2,Barrios residenciales estables,14.06,1150.84,8.45,17.31,28.47,15.07
84,084. Pilar,2,Barrios residenciales estables,15.24,1059.14,13.54,16.09,31.61,15.07
85,085. La Paz,2,Barrios residenciales estables,12.51,1148.78,5.5,21.48,26.18,15.07
86,086. Valverde,2,Barrios residenciales estables,13.67,1073.2,14.2,23.99,31.98,15.07
87,087. Mirasierra,2,Barrios residenciales estables,13.68,1149.16,5.19,24.57,28.39,15.07
88,088. El Goloso,2,Barrios residenciales estables,13.92,1064.41,6.25,30.02,27.11,15.07
91,091. Casa de Campo,2,Barrios residenciales estables,16.01,1109.62,9.06,28.62,30.68,16.14
93,093. Ciudad Universitaria,2,Barrios residenciales estables,16.12,1292.7,9.96,37.2,31.34,16.14
94,094. Valdezarza,2,Barrios residenciales estables,14.89,1135.8,12.92,15.27,32.1,16.14
95,095. Valdemarín,2,Barrios residenciales estables,15.66,1209.96,8.78,48.11,27.29,16.14
96,096. El Plantío,2,Barrios residenciales estables,13.72,1223.35,10.71,20.34,26.48,16.14
97,097. Aravaca,2,Barrios residenciales estables,14.28,1094.6,10.76,18.18,29.05,16.14
106,106. Cuatro Vientos,2,Barrios residenciales estables,13.1,911.17,10.5,21.21,33.57,23.45
141,141. Pavones,2,Barrios residenciales estables,12.13,960.72,11.94,25.83,27.67,23.21
142,142. Horcajo,2,Barrios residenciales estables,12.13,994.96,8.17,15.05,28.51,23.21
143,143. Marroquina,2,Barrios residenciales estables,12.1,1009.23,7.65,17.54,27.01,23.21
144,144. Media Legua,2,Barrios residenciales estables,11.88,1042.91,11.64,19.21,29.53,23.21
154,154. La Concepción,2,Barrios residenciales estables,15.05,1091.46,16.43,19.76,32.75,14.48
155,155. San Pascual,2,Barrios residenciales estables,14.97,1201.68,10.6,19.96,29.91,14.48
156,156. San Juan Bautista,2,Barrios residenciales estables,15.08,1340.71,11.02,21.72,28.79,14.48
157,157. Colina,2,Barrios residenciales estables,15.97,1352.91,12.12,16.29,29.43,14.48
158,158. Atalaya,2,Barrios residenciales estables,15.03,1367.57,11.34,20.0,28.36,14.48
159,159. Costillares,2,Barrios residenciales estables,13.88,1418.21,5.95,21.57,27.53,14.48
161,161. Palomas,2,Barrios residenciales estables,13.76,1288.01,10.31,30.28,25.27,8.6
162,162. Piovera,2,Barrios residenciales estables,15.22,1507.37,17.21,26.35,28.26,8.6
