cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823,alquiler_2023,var_alquiler_dist_1823,catastral_m2,var_catastral_m2_2023
065,065. Valdeacederas,26572,24.61,14.68,41.36,15.25,3.39,-0.09,0.28,2.0,13.35,4.45,51.79,1.11,0.62,16.8,15.25,1023.43,2.09
066,066. Berruguete,25694,26.22,16.21,40.92,16.44,3.42,-0.59,1.14,2.2,14.93,5.75,52.26,1.35,-0.43,16.36,15.25,1115.97,-0.12
071,071. Gaztambide,22959,14.29,25.41,37.26,9.6,3.75,-0.32,1.37,2.44,20.18,3.53,58.51,1.28,-0.32,19.26,15.51,1368.73,-0.0
072,072. Arapiles,24190,13.52,24.2,38.26,9.1,2.85,0.16,1.21,2.02,21.21,2.82,54.75,2.29,1.14,19.48,15.51,1377.98,-0.04
073,073. Trafalgar,24621,16.85,21.53,39.83,11.36,4.41,0.35,0.68,3.29,25.93,4.94,50.0,1.36,1.88,22.09,15.51,1390.66,0.04
074,074. Almagro,19418,16.01,24.57,34.29,8.85,3.2,0.61,0.24,1.6,27.4,3.46,47.12,0.77,2.74,21.92,15.51,1639.11,0.1
075,075. Ríos Rosas,27163,13.18,23.5,36.65,8.38,2.55,0.12,0.14,1.59,26.95,5.42,49.38,1.15,3.08,20.08,15.51,1471.02,0.84
076,076. Vallehermoso,19853,8.57,27.48,31.74,5.36,1.75,-0.52,0.74,1.18,23.93,2.9,46.61,1.11,0.33,18.25,15.51,1670.09,-0.1
081,081. El Pardo,3421,5.29,24.47,30.4,2.75,1.85,-1.77,-2.73,0.52,42.4,3.2,32.8,0.8,-1.01,13.43,15.07,1020.43,0.05
082,082. Fuentelarreina,3410,7.6,25.89,25.01,3.37,-0.07,-0.08,-1.52,-0.4,35.0,0.0,35.0,0.0,1.67,10.91,15.07,1211.28,-0.12
083,083. Peñagrande,44341,8.45,27.42,28.47,4.58,1.09,2.38,-2.35,0.34,17.31,4.78,55.17,1.29,0.27,14.06,15.07,1150.84,-0.24
084,084. Pilar,45609,13.54,28.6,31.61,7.7,2.99,-0.89,-1.0,1.52,16.09,3.42,60.16,1.08,-0.38,15.24,15.07,1059.14,-0.17
085,085. La Paz,32192,5.5,36.16,26.18,2.74,0.7,5.42,-3.95,0.11,21.48,4.74,52.29,1.42,1.51,12.51,15.07,1148.78,-0.11
