cod_barrio,barrio,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823
162,162. Piovera,26.35,5.42,40.07,2.53,-3.06
163,163. Canillas,19.19,6.67,48.94,2.03,-0.16
164,164. Pinar del Rey,16.99,3.52,56.66,1.87,-0.18
165,165. Apóstol Santiago,22.73,5.56,47.98,1.52,-0.77
166,166. Valdefuentes,27.7,5.41,40.9,0.79,-0.29
171,"171. Villaverde Alto, Casco Histórico de Villaverde",9.64,4.0,46.24,0.49,-1.48
172,172. San Cristóbal,29.07,4.85,53.3,1.76,2.78
173,173. Butarque,22.97,2.83,45.94,1.77,0.39
174,174. Los Rosales,18.96,3.97,57.5,1.36,-0.85
175,175. Ángeles,18.1,3.3,62.5,1.87,0.23
181,181. Casco Histórico de Vallecas,10.39,2.72,49.82,0.97,-0.21
182,182. Santa Eugenia,21.11,2.09,50.35,2.32,-0.98
183,183. Ensanche de Vallecas,24.2,2.74,56.47,1.22,1.88
191,191. Casco Histórico de Vicálvaro,17.44,3.15,48.77,1.48,-1.23
192,192. Valdebernardo,21.17,2.55,59.85,0.36,-1.64
193,193. Valderrivas,21.95,2.44,45.12,2.44,-0.94
194,194. El Cañaveral,28.74,4.6,40.23,3.45,28.74
201,201. Simancas,23.51,6.95,40.06,1.67,-0.09
202,202. Hellín,20.78,3.9,59.74,1.3,3.9
203,203. Amposta,18.72,2.96,65.02,0.99,-0.06
204,204. Arcos,24.48,1.79,53.73,1.79,1.28
205,205. Rosas,31.44,4.44,45.38,0.86,9.81
206,206. Rejas,20.68,4.43,43.28,0.74,2.8
207,207. Canillejas,18.02,3.15,54.73,1.69,-1.22
208,208. El Salvador,29.67,8.61,32.06,1.91,2.12
211,211. Alameda de Osuna,25.0,3.16,48.56,1.15,1.37
212,212. Aeropuerto,28.08,0.0,41.47,0.0,0.86
213,213. Casco Histórico de Barajas,27.3,2.76,52.15,3.07,0.05
214,214. Timón,27.07,5.24,36.24,0.87,-1.01
215,215. Corralejos,46.89,5.26,20.1,0.48,5.35
